Day,atlanta,atlanta_count,austin,austin_count,boston,boston_count,chicago,chicago_count,dallas,dallas_count,denver,denver_count,detroit,detroit_count,houston,houston_count,lasvegas,lasvegas_count,losangeles,losangeles_count,miami,miami_count,minneapolis,minneapolis_count,newyork,newyork_count,orangecounty,orangecounty_count,philadelphia,philadelphia_count,phoenix,phoenix_count,portland,portland_count,raleigh,raleigh_count,sacramento,sacramento_count,sandiego,sandiego_count,seattle,seattle_count,sfbay,sfbay_count,washingtondc,washingtondc_count,Total,Total_count
Sun,0.1092896174863388,20,0.09042553191489362,34,0.025423728813559324,3,0.08074534161490683,13,0.07906976744186046,17,0.1407185628742515,47,0.16666666666666666,34,0.09012875536480687,21,0.21935483870967742,34,0.08527131782945736,11,0.1652892561983471,20,0.07224334600760456,19,0.06866952789699571,16,0.13821138211382114,17,0.18450184501845018,50,0.08695652173913043,16,0.0425531914893617,8,0.13839285714285715,31,0.07692307692307693,11,0.04040404040404041,4,0.09433962264150944,15,0.007936507936507936,1,0.0,0,0.10295830421616585,442
Mon,0.14207650273224043,26,0.1356382978723404,51,0.07627118644067797,9,0.062111801242236024,10,0.15348837209302327,33,0.11077844311377245,37,0.12745098039215685,26,0.15879828326180256,37,0.15483870967741936,24,0.03875968992248062,5,0.18181818181818182,22,0.1444866920152091,38,0.08583690987124463,20,0.13008130081300814,16,0.15867158671586715,43,0.08695652173913043,16,0.05851063829787234,11,0.14732142857142858,33,0.26573426573426573,38,0.10101010101010101,10,0.0880503144654088,14,0.05555555555555555,7,0.21568627450980393,11,0.12508735150244585,537
Tue,0.19672131147540983,36,0.18351063829787234,69,0.1016949152542373,12,0.20496894409937888,33,0.17209302325581396,37,0.2215568862275449,74,0.18137254901960784,37,0.2446351931330472,57,0.16129032258064516,25,0.2248062015503876,29,0.19834710743801653,24,0.1634980988593156,43,0.12446351931330472,29,0.17886178861788618,22,0.14022140221402213,38,0.16304347826086957,30,0.1595744680851064,30,0.15625,35,0.14685314685314685,21,0.23232323232323232,23,0.09433962264150944,15,0.2222222222222222,28,0.19607843137254902,10,0.17633356627067318,757
Wed,0.16393442622950818,30,0.2154255319148936,81,0.3644067796610169,43,0.3167701863354037,51,0.2837209302325581,61,0.18263473053892215,61,0.16176470588235295,33,0.21030042918454936,49,0.12903225806451613,20,0.2713178294573643,35,0.1652892561983471,20,0.22813688212927757,60,0.2446351931330472,57,0.18699186991869918,23,0.14022140221402213,38,0.29891304347826086,55,0.39893617021276595,75,0.17410714285714285,39,0.21678321678321677,31,0.2222222222222222,22,0.2578616352201258,41,0.31746031746031744,40,0.29411764705882354,15,0.22827859305846726,980
Thu,0.17486338797814208,32,0.14893617021276595,56,0.288135593220339,34,0.19254658385093168,31,0.19534883720930232,42,0.17065868263473055,57,0.15196078431372548,31,0.12446351931330472,29,0.17419354838709677,27,0.20930232558139536,27,0.14049586776859505,17,0.20912547528517111,55,0.30472103004291845,71,0.17886178861788618,22,0.14391143911439114,39,0.17391304347826086,32,0.16489361702127658,31,0.16071428571428573,36,0.11888111888111888,17,0.2727272727272727,27,0.3270440251572327,52,0.373015873015873,47,0.21568627450980393,11,0.19170743070114138,823
Fri,0.07650273224043716,14,0.11702127659574468,44,0.07627118644067797,9,0.062111801242236024,10,0.06976744186046512,15,0.08383233532934131,28,0.1323529411764706,27,0.09871244635193133,23,0.07741935483870968,12,0.09302325581395349,12,0.05785123966942149,7,0.09505703422053231,25,0.08583690987124463,20,0.11382113821138211,14,0.1070110701107011,29,0.08152173913043478,15,0.09042553191489362,17,0.07589285714285714,17,0.11888111888111888,17,0.030303030303030304,3,0.09433962264150944,15,0.007936507936507936,1,0.0784313725490196,4,0.0880503144654088,378
Sat,0.1366120218579235,25,0.10904255319148937,41,0.06779661016949153,8,0.08074534161490683,13,0.046511627906976744,10,0.08982035928143713,30,0.0784313725490196,16,0.07296137339055794,17,0.08387096774193549,13,0.07751937984496124,10,0.09090909090909091,11,0.08745247148288973,23,0.08583690987124463,20,0.07317073170731707,9,0.12546125461254612,34,0.10869565217391304,20,0.0851063829787234,16,0.14732142857142858,33,0.055944055944055944,8,0.10101010101010101,10,0.0440251572327044,7,0.015873015873015872,2,0.0,0,0.08758443978569765,376
