time	frequency	count
Sun	0.12547892720306514	131
Mon	0.13409961685823754	140
Tue	0.1810344827586207	189
Wed	0.20689655172413793	216
Thu	0.1743295019157088	182
Fri	0.06704980842911877	70
Sat	0.1111111111111111	116
