Day,atlanta,atlanta_count,austin,austin_count,boston,boston_count,chicago,chicago_count,dallas,dallas_count,denver,denver_count,detroit,detroit_count,houston,houston_count,lasvegas,lasvegas_count,losangeles,losangeles_count,miami,miami_count,minneapolis,minneapolis_count,newyork,newyork_count,orangecounty,orangecounty_count,philadelphia,philadelphia_count,phoenix,phoenix_count,portland,portland_count,raleigh,raleigh_count,sacramento,sacramento_count,sandiego,sandiego_count,seattle,seattle_count,sfbay,sfbay_count,washingtondc,washingtondc_count
Sun,0.131163708086785,133,0.12875536480686695,120,0.025522041763341066,11,0.07560137457044673,44,0.12547892720306514,131,0.12694877505567928,114,0.15274463007159905,128,0.1414441147378833,143,0.14874551971326164,83,0.09140767824497258,50,0.15833333333333333,152,0.09314775160599571,87,0.08382526564344746,71,0.13,104,0.1422172452407615,127,0.09989258861439312,93,0.06839186691312385,37,0.12302070645554203,101,0.15680473372781065,53,0.04864864864864865,18,0.07341269841269842,37,0.025839793281653745,10,0.03558718861209965,10
Mon,0.1755424063116371,178,0.15021459227467812,140,0.06728538283062645,29,0.07216494845360824,42,0.13409961685823754,140,0.11804008908685969,106,0.17780429594272076,149,0.16221562809099901,164,0.1881720430107527,105,0.056672760511883,31,0.19375,186,0.13597430406852248,127,0.09681227863046045,82,0.18,144,0.15005599104143338,134,0.11493018259935553,107,0.06839186691312385,37,0.1656516443361754,136,0.17159763313609466,58,0.10270270270270271,38,0.09523809523809523,48,0.08527131782945736,33,0.15658362989323843,44
Tue,0.17455621301775148,177,0.1813304721030043,169,0.18561484918793503,80,0.16666666666666666,97,0.1810344827586207,189,0.17706013363028952,159,0.1718377088305489,144,0.16122650840751732,163,0.16129032258064516,90,0.20109689213893966,110,0.15416666666666667,148,0.21092077087794434,197,0.1204250295159386,102,0.15875,127,0.15789473684210525,141,0.14930182599355532,139,0.1589648798521257,86,0.1814859926918392,149,0.17455621301775148,59,0.23243243243243245,86,0.13095238095238096,66,0.18087855297157623,70,0.2526690391459075,71
Wed,0.16765285996055226,170,0.1888412017167382,176,0.29466357308584684,127,0.26288659793814434,153,0.20689655172413793,216,0.19265033407572382,173,0.17899761336515513,150,0.18100890207715134,183,0.13261648745519714,74,0.2522851919561243,138,0.16979166666666667,163,0.19700214132762311,184,0.2408500590318772,204,0.1775,142,0.1769316909294513,158,0.23630504833512353,220,0.2828096118299446,153,0.1656516443361754,136,0.23668639053254437,80,0.26216216216216215,97,0.2718253968253968,137,0.3152454780361757,122,0.29537366548042704,83
Thu,0.15483234714003946,157,0.14699570815450644,137,0.2552204176334107,110,0.2611683848797251,152,0.1743295019157088,182,0.155902004454343,140,0.11455847255369929,96,0.1434223541048467,145,0.14695340501792115,82,0.21389396709323583,117,0.1125,108,0.16809421841541755,157,0.3116883116883117,264,0.13,104,0.14893617021276595,133,0.18152524167561762,169,0.27726432532347506,150,0.13032886723507917,107,0.1301775147928994,44,0.1972972972972973,73,0.31547619047619047,159,0.35400516795865633,137,0.18149466192170818,51
Fri,0.09566074950690336,97,0.09549356223175966,89,0.10672853828306264,46,0.07388316151202749,43,0.06704980842911877,70,0.13697104677060135,123,0.0883054892601432,74,0.09792284866468842,99,0.12186379928315412,68,0.09140767824497258,50,0.1125,108,0.10920770877944326,102,0.08264462809917356,70,0.1025,82,0.12206047032474804,109,0.12781954887218044,119,0.09242144177449169,50,0.10475030450669914,86,0.07100591715976332,24,0.07837837837837838,29,0.05555555555555555,28,0.020671834625323,8,0.06405693950177936,18
Sat,0.10059171597633136,102,0.10836909871244635,101,0.06496519721577726,28,0.08762886597938144,51,0.1111111111111111,116,0.09242761692650334,83,0.11575178997613365,97,0.11275964391691394,114,0.1003584229390681,56,0.09323583180987204,51,0.09895833333333333,95,0.08565310492505353,80,0.06375442739079103,54,0.12125,97,0.1019036954087346,91,0.09022556390977443,84,0.051756007393715345,28,0.12911084043848964,106,0.05917159763313609,20,0.07837837837837838,29,0.057539682539682536,29,0.01808785529715762,7,0.014234875444839857,4
