time	frequency	count
Sun	0.07560137457044673	44
Mon	0.07216494845360824	42
Tue	0.16666666666666666	97
Wed	0.26288659793814434	153
Thu	0.2611683848797251	152
Fri	0.07388316151202749	43
Sat	0.08762886597938144	51
