time	frequency	count
Sun	0.13821138211382114	17
Mon	0.13008130081300814	16
Tue	0.17886178861788618	22
Wed	0.18699186991869918	23
Thu	0.17886178861788618	22
Fri	0.11382113821138211	14
Sat	0.07317073170731707	9
