time	frequency	count
Sun	0.08527131782945736	11
Mon	0.03875968992248062	5
Tue	0.2248062015503876	29
Wed	0.2713178294573643	35
Thu	0.20930232558139536	27
Fri	0.09302325581395349	12
Sat	0.07751937984496124	10
